index,group_index,group_name,filename,relative_name,path
267,7,ci,ci006_conc-A3_writ-E4.wav,ci/ci006_conc-A3_writ-E4.wav,./wav/ci/ci006_conc-A3_writ-E4.wav
268,7,ci,ci007_conc-B3_writ-F4.wav,ci/ci007_conc-B3_writ-F4.wav,./wav/ci/ci007_conc-B3_writ-F4.wav
269,7,ci,ci008_conc-H3_writ-Fis4.wav,ci/ci008_conc-H3_writ-Fis4.wav,./wav/ci/ci008_conc-H3_writ-Fis4.wav
270,7,ci,ci009_conc-C4_writ-G4.wav,ci/ci009_conc-C4_writ-G4.wav,./wav/ci/ci009_conc-C4_writ-G4.wav
271,7,ci,ci010_conc-Cis4_writ-Gis4.wav,ci/ci010_conc-Cis4_writ-Gis4.wav,./wav/ci/ci010_conc-Cis4_writ-Gis4.wav
272,7,ci,ci011_conc-D4_writ-A4.wav,ci/ci011_conc-D4_writ-A4.wav,./wav/ci/ci011_conc-D4_writ-A4.wav
273,7,ci,ci012_conc-Dis4_writ-Ais4.wav,ci/ci012_conc-Dis4_writ-Ais4.wav,./wav/ci/ci012_conc-Dis4_writ-Ais4.wav
274,7,ci,ci013_conc-E4_writ-H4.wav,ci/ci013_conc-E4_writ-H4.wav,./wav/ci/ci013_conc-E4_writ-H4.wav
275,7,ci,ci014_conc-F4_writ-C5.wav,ci/ci014_conc-F4_writ-C5.wav,./wav/ci/ci014_conc-F4_writ-C5.wav
276,7,ci,ci015_conc-Fis4_writ-Cis5.wav,ci/ci015_conc-Fis4_writ-Cis5.wav,./wav/ci/ci015_conc-Fis4_writ-Cis5.wav
277,7,ci,ci016_conc-G4_writ-D5.wav,ci/ci016_conc-G4_writ-D5.wav,./wav/ci/ci016_conc-G4_writ-D5.wav
278,7,ci,ci017_conc-Gis4_writ-Dis5.wav,ci/ci017_conc-Gis4_writ-Dis5.wav,./wav/ci/ci017_conc-Gis4_writ-Dis5.wav
279,7,ci,ci018_conc-A4_writ-E5.wav,ci/ci018_conc-A4_writ-E5.wav,./wav/ci/ci018_conc-A4_writ-E5.wav
280,7,ci,ci019_conc-B4_writ-F5.wav,ci/ci019_conc-B4_writ-F5.wav,./wav/ci/ci019_conc-B4_writ-F5.wav
281,7,ci,ci020_conc-H4_writ-Fis5.wav,ci/ci020_conc-H4_writ-Fis5.wav,./wav/ci/ci020_conc-H4_writ-Fis5.wav
282,7,ci,ci021_conc-C5_writ-G5.wav,ci/ci021_conc-C5_writ-G5.wav,./wav/ci/ci021_conc-C5_writ-G5.wav
283,7,ci,ci022_conc-Cis5_writ-Gis5.wav,ci/ci022_conc-Cis5_writ-Gis5.wav,./wav/ci/ci022_conc-Cis5_writ-Gis5.wav
284,7,ci,ci023_conc-D5_writ-A5.wav,ci/ci023_conc-D5_writ-A5.wav,./wav/ci/ci023_conc-D5_writ-A5.wav
285,7,ci,ci024_conc-Dis5_writ-Ais5.wav,ci/ci024_conc-Dis5_writ-Ais5.wav,./wav/ci/ci024_conc-Dis5_writ-Ais5.wav
286,7,ci,ci025_conc-E5_writ-H5.wav,ci/ci025_conc-E5_writ-H5.wav,./wav/ci/ci025_conc-E5_writ-H5.wav
287,7,ci,ci026_conc-F5_writ-C6.wav,ci/ci026_conc-F5_writ-C6.wav,./wav/ci/ci026_conc-F5_writ-C6.wav
288,7,ci,ci027_conc-Fis5_writ-Cis6.wav,ci/ci027_conc-Fis5_writ-Cis6.wav,./wav/ci/ci027_conc-Fis5_writ-Cis6.wav
289,7,ci,ci028_conc-G5_writ-D6.wav,ci/ci028_conc-G5_writ-D6.wav,./wav/ci/ci028_conc-G5_writ-D6.wav
290,7,ci,ci029_conc-Gis5_writ-Dis6.wav,ci/ci029_conc-Gis5_writ-Dis6.wav,./wav/ci/ci029_conc-Gis5_writ-Dis6.wav
291,7,ci,ci030_conc-A5_writ-E6.wav,ci/ci030_conc-A5_writ-E6.wav,./wav/ci/ci030_conc-A5_writ-E6.wav
292,7,ci,ci031_conc-B5_writ-F6.wav,ci/ci031_conc-B5_writ-F6.wav,./wav/ci/ci031_conc-B5_writ-F6.wav
